Temperature,Humidity,pm2_5,CO
22.4,19.995,NA,0.92
24.93,20.73,NA,0.97
23.44,17.387,NA,17.4
22.5,18.725,NA,1.7
22,20.622,NA,22.1
22.28,19.896,NA,45.41
24.46,25.154,NA,112.16
23.57,25.047,NA,80.87
22.67,23.487,NA,29.16
23.24,21.912,NA,
23.22,25.406,NA,132.07
23.7,21.773,NA,52.04
23.71,22.223,NA,48.82
24.42,23.952,NA,19.2
22.6,25.406,NA,0.6
24.13,22.223,NA,1.63
23.68,21.912,NA,11.44
22.06,25.154,NA,6.1
23.32,25.047,NA,2.51
22.87,23.487,NA,7.92
23.57,25.494,NA,9.52
22.96,23.952,NA,9.05
23.25,22.626,NA,22.53
22.84,,NA,2.03
22.56,44.355,NA,1.42
23.54,39.376,NA,2.27
23.23,43.532,NA,2.19
23.33,34.772,NA,5.72
23.05,45.835,NA,6.93
22.6,43.944,NA,13.85
24.57,36.874,NA,24.39
24.13,49.852,NA,43.48
22.85,,NA,54.56
22.76,43.532,NA,30.61
22.28,43.944,NA,2.37
23.1,44.355,NA,2.6
23.34,45.835,NA,1.16
22.95,49.852,NA,7.29
23.61,34.772,NA,8.92
23.79,36.874,NA,4.32
23.18,39.376,NA,1.41
22.99,,NA,6.34
22.97,50.376,NA,14.19
23.17,42.193,NA,18.18
22.38,36.07,NA,37.49
24.41,44.826,NA,15.55
22.61,42.432,NA,19.85
22.87,34.859,NA,15.96
24.31,40.057,NA,16.24
23.56,47.67,NA,11.25
24.36,,NA,33.84
23.91,44.826,NA,61.95
22.96,42.193,NA,45.45
22.79,40.057,NA,77.7
23.46,36.07,NA,12.56
23.16,50.376,NA,2.23
22.98,34.859,NA,
24.75,42.432,NA,
23.33,47.67,NA,
23.78,,NA,3.58
24.14,44.826,NA,9.07
22.89,42.193,NA,12.99
22.9,50.376,NA,18.21
23.06,34.859,NA,48.44
23.82,47.67,NA,
24.11,36.07,NA,2.5
23.72,40.057,NA,3.51
22.67,42.432,NA,4.13
23.78,,NA,5.39
24.19,50.376,NA,4.11
23.91,36.07,NA,4.28
24.46,40.057,NA,3.67
24.02,47.67,NA,6.42
23.54,44.826,NA,3.1
23.15,42.193,NA,2.72
23.91,34.859,NA,5.34
23.98,42.432,NA,25.36
23.6,,NA,46.24
24.6,51.874,NA,22.14
24.35,48.503,NA,22.25
23.73,41.498,NA,25.38
24.23,38.184,NA,45.61
23.89,45.716,NA,27.3
23.59,36.835,NA,23.83
23.84,48.189,NA,17.93
23.61,,NA,6.4
23.81,51.874,NA,5.86
24.12,36.835,NA,4.99
23.22,40.259,NA,3.88
24.24,41.498,NA,6.52
23.31,48.503,NA,3.8
23.84,48.189,NA,5.24
23.82,38.184,NA,4.17
24.67,45.716,NA,5.63
24.44,,NA,3.92
25.18,51.874,NA,4.23
23.3,41.498,NA,5.65
23.95,48.189,NA,15.82
23.57,45.716,NA,3.3
24.44,48.503,NA,5.9
24.36,36.835,NA,3.52
24.56,38.184,NA,5.28
24.27,40.259,NA,3.89
23.89,,NA,5.74
24.18,36.835,NA,18.01
25.66,38.184,NA,30.8
25.19,41.498,NA,19.91
23.97,51.874,NA,4.3
25.27,45.716,NA,6.99
24.89,48.503,NA,16.73
24.18,48.189,NA,6.3
23.61,40.259,NA,3.44
24.56,,NA,3.35
23.83,40.811,NA,5.7
24.58,40.135,NA,4.55
26.94,55.004,NA,5.29
26.45,36.668,NA,3.11
48.098,NA,3.88,
47.144,NA,5.05,
36.315,NA,5.69,
43.761,NA,4.67,
,NA,15.69,
55.004,NA,13.12,
40.811,NA,2.69,
36.315,NA,2.73,
48.098,NA,3.14,
36.668,NA,6.24,
43.761,NA,8,
40.135,NA,9.94,
47.144,NA,10.68,
,NA,11.44,
36.668,NA,12.3,
40.135,NA,20.42,
43.761,NA,5.31,
47.144,NA,14.28,
48.098,NA,21.23,
,NA,7.56,
36.315,NA,7.14,
36.668,NA,8.05,
40.811,NA,10.44,
43.761,NA,9.46,
47.144,NA,10.89,
40.135,NA,2.18,
,NA,2.96,
29.551,NA,4.12,
36.471,NA,4.23,
44.363,NA,4.26,
29.226,NA,5.27,
27.312,NA,13.71,
31.884,NA,6.67,
41.816,NA,5.6,
,NA,7.02,
29.551,NA,7.25,
29.974,NA,6.36,
41.816,NA,6.01,
27.312,NA,8.05,
36.471,NA,6.59,
29.226,NA,6.86,
44.363,NA,7.76,
31.884,NA,7.41,
29.974,NA,8.56,
,NA,8.21,
36.471,NA,8.26,
41.816,NA,9.63,
31.884,NA,8.67,
29.551,NA,9.35,
27.312,NA,8.54,
44.363,NA,7.53,
29.226,NA,7.59,
29.974,NA,7.34,
,NA,7.55,
29.551,NA,7.15,
36.471,NA,7.99,
29.226,NA,7.45,
44.363,NA,7.34,
41.816,NA,8.68,
31.884,NA,8.58,
27.312,NA,9.15,
29.974,NA,8.07,
,NA,9.23,
21.404,NA,8.87,
30.645,NA,9.01,
25.77,NA,9.56,
25.337,NA,9.43,
